Players,GP,Pre,Current,FGM,FGA,FG,FTM,FTA,FT,3PTM,PTS,OREB,DREB,REB,AST,ST,BLK,A/T
"J. Lauvergne OKC - PF,C",68,287,211,3.6,7.0,0.515,0.9,1.1,0.803,0.3,8.4,1.4,3.8,5.2,1.1,0.3,0.4,1.1
"D. Sloan Bkn - PG,SG",0,288,615,,,0.000,,,0.000,,,,,,,,,0.0
D. Dedmon SA - C,69,289,266,2.0,3.6,0.563,1.0,1.5,0.667,0.0,5.0,1.6,3.1,4.8,0.3,0.4,1.0,0.3
"V. Carter Mem - SG,SF",69,290,278,2.2,5.8,0.385,1.1,1.3,0.815,1.1,6.6,0.5,1.8,2.3,1.1,0.6,0.3,1.7
"R. Foye Bkn - PG,SG",77,291,265,2.4,6.4,0.375,0.8,1.0,0.821,1.1,6.7,0.2,1.6,1.8,2.2,0.5,0.3,1.9
"A. Rivers LAC - PG,SG",73,292,270,2.9,6.9,0.427,1.1,1.6,0.697,0.8,7.8,0.3,1.4,1.8,1.5,0.6,0.2,1.8
"K. Martin SA - SG,SF",33,293,386,2.1,5.4,0.393,1.6,1.8,0.883,0.7,6.5,0.2,1.1,1.3,0.9,0.4,0.1,1.0
"E. Moore NO - PG,SG",72,294,248,3.3,7.3,0.462,0.5,0.7,0.679,0.8,8.0,0.3,2.0,2.4,1.8,0.6,0.2,2.0
"K. Humphries Atl - PF,C",59,295,305,2.2,4.8,0.460,1.3,1.8,0.724,0.5,6.2,1.1,2.6,3.6,0.6,0.5,0.3,0.9
"N. Cole NO - PG,SG",42,296,346,2.8,6.8,0.416,0.7,0.9,0.763,0.5,6.8,0.1,2.0,2.1,2.3,0.5,0.1,2.0
"O. Mayo Mil - PG,SG",0,297,500,,,0.000,,,0.000,,,,,,,,,0.0
"R. Jefferson Cle - SG,SF",75,298,292,2.0,4.3,0.460,0.9,1.3,0.710,1.0,5.9,0.2,1.7,2.0,0.7,0.5,0.2,1.0
"T. Hardaway Jr. Atl - SG,SF",72,299,287,2.4,5.6,0.426,1.0,1.2,0.843,1.1,6.8,0.2,1.7,1.9,1.1,0.4,0.1,1.4
"P. Prigioni Hou - PG,SG",68,300,280,1.2,3.0,0.409,0.3,0.3,0.870,0.6,3.4,0.7,1.5,2.2,2.3,1.1,0.0,2.2
"J. Johnson Mia - SF,PF",61,301,304,2.0,4.0,0.486,0.8,1.2,0.653,0.3,5.0,0.6,1.8,2.4,1.1,0.7,0.7,1.3
"T. Snell Chi - SG,SF",60,302,352,1.6,4.0,0.405,0.4,0.4,0.808,0.7,4.3,0.2,2.1,2.3,0.8,0.3,0.2,1.4
"T. Prince Min - SF,PF",0,303,531,,,0.000,,,0.000,,,,,,,,,0.0
