Rank,Name,Position,Team,Best,Worst,Draft,Dev 
200,Cristiano Felicio,F,CHI,135,340,217.2857,58.69464392
201,Alec Burks,G,UTH,135,296,172.75,41.92478384
202,Gerald Henderson,G,PHI,136,230,181.3077,22.89905814
203,Jarrett Jack,G,ATL,137,218,185.4167,22.09245095
204,Tyler Johnson,G,MIA,137,190,162.6667,16.6449859
205,T.J. Warren,F,PHO,138,213,171.3636,23.57684815
206,Patrick Patterson,F,TOR,138,201,175.3077,18.61919859
207,Shabazz Muhammad,G,MIN,140,324,217,55.92554574
208,Mario Hezonja,G,ORL,142,215,180.5714,18.64600411
209,Terrence Ross,G,TOR,142,214,183.6667,20.46134567
210,Tim Hardaway Jr.,G,ATL,143,237,207,35.3327044
211,Ian Mahinmi,C,WAS,144,207,176.5833,19.45275616
212,Tyson Chandler,C,PHO,145,209,179.7143,19.31109441
213,Gerald Green,F,BOS,146,294,213,61.22635598
214,Kelly Olynyk,F,BOS,146,194,164.3846,15.1786209
215,Marco Belinelli,G,CHA,147,290,218.5,71.5
216,Lance Stephenson,G,NOR,148,232,189.375,22.36033039
217,Ivica Zubac,C,LAL,148,206,188,21.69792617
218,Ed Davis,F,POR,150,204,183.1667,17.12616582
219,Omri Casspi,F,SAC,151,223,181.2727,21.55369999
220,Denzel Valentine,SG,CHI,152,261,216.125,35.99804682
221,John Henson,F,MIL,152,224,196.8,20.68235963
222,Bobby Portis,PF,CHI,153,237,183.0769,25.6498959
223,Dragan Bender,PF,PHO,154,320,188.1667,42.40643295
224,Trey Burke,G,WAS,154,284,215.75,37.82442994
225,Greivis Vasquez,G,BKN,154,260,197.25,28.90826007
226,Sergio Rodriguez,G,PHI,154,223,199,27.39525506
227,Trevor Booker,F,BKN,154,214,181.25,19.64529206
228,Kyle Anderson,F,SAS,154,208,182,17.52141547
229,Sean Kilpatrick,G,BKN,155,212,187.3333,17.24013405
230,Seth Curry,G,DAL,156,270,200.1429,34.67163753
231,Ty Lawson,G,SAC,157,272,213.375,31.80777224
232,Dion Waiters,G,MIA,157,243,183.1111,26.98742277
233,Jeremy Lamb,G,CHA,157,222,200,22.12841311
234,Mo Williams,G,FA,159,247,224.6,33.50582039
235,Meyers Leonard,C,POR,159,218,195.2222,20.50895619
236,Brandon Bass,F,LAC,160,244,208.6,27.48526878
237,Devin Harris,G,DAL,161,249,209.375,30.31063139
238,Justin Anderson,G,DAL,162,222,202.8,22.68391501
239,Jerami Grant,F,PHI,164,315,221.8333,49.6837219
240,Cory Joseph,G,TOR,165,247,204.5556,23.69299527
241,Mario Chalmers,G,FA,167,196,181.5,14.5
242,Nik Stauskas,G,PHI,168,271,217.125,32.22358414
243,Ben McLemore,G,SAC,169,266,207.6667,28.40578971
244,Aaron Brooks,G,IND,170,328,232.6667,68.51439427
245,Jodie Meeks,G,ORL,170,319,221.25,43.31786583
246,Channing Frye,F,CLE,170,245,217.8,26.77610875
247,Rodney Stuckey,G,IND,171,254,209.3333,34.17926597
248,Brandan Wright,F,MEM,171,246,205.3333,26.47010893
249,Donatas Motiejunas,F,FA,174,226,204.2,20.71134955
250,Isaiah Whitehead,G,BKN,175,244,210.8333,27.67921402
251,Jerian Grant,PG,CHI,177,289,221.6,38.88238676
252,Quincy Acy,F,DAL,177,245,222.5,27.39981752
253,Isaiah Canaan,G,CHI,178,308,228.75,40.71777867
254,Jon Leuer,F,DET,178,248,223.2,26.79850742
255,Andre Roberson,F,OKC,178,246,225,27.77588882
256,Josh Smith,F,FA,180,239,210.6,25.09661332
257,Dejounte Murray,G,SAS,180,225,198,19.4422221
258,Jose Calderon,G,LAL,181,258,221.6667,31.58410289
259,David West,F,GSW,181,240,200.4,21.54622937
260,Norman Powell,G,TOR,182,248,223.4,25.9815319
261,J.J. Barea,G,DAL,183,259,216,30.14962686
262,Kosta Koufos,F,SAC,184,250,223,26.16772822
263,Jameer Nelson,G,DEN,185,312,241.25,45.57068685
264,Nikola Pekovic,C,MIN,186,186,186,0
265,Tony Wroten,G,MEM,187,406,277.6667,93.28927532
